Region,Region_pcode,Province,Province_pcode,City,Mun_Pcode,July2020,July2021,July2022,July2023,July2024,July2025
Region I (Ilocos Region),PH010000000,La Union,PH013300000,naguilian,PH013311000,60000,61125,62233,63324,64402,65460
Region I (Ilocos Region),PH010000000,La Union,PH013300000,pugo,PH013312000,23096,23809,24530,25257,25994,26736
Region I (Ilocos Region),PH010000000,La Union,PH013300000,rosario,PH013313000,57906,58304,58667,58996,59293,59555
Region I (Ilocos Region),PH010000000,La Union,PH013300000,city of san fernando (capital),PH013314000,127962,128997,129960,130849,131670,132416
Region I (Ilocos Region),PH010000000,La Union,PH013300000,san gabriel,PH013315000,19650,19925,20192,20450,20701,20942
Region I (Ilocos Region),PH010000000,La Union,PH013300000,san juan,PH013316000,39064,39380,39674,39945,40196,40423
Region I (Ilocos Region),PH010000000,La Union,PH013300000,santo tomas,PH013317000,42021,42558,43076,43573,44053,44512
Region I (Ilocos Region),PH010000000,La Union,PH013300000,santol,PH013318000,12868,12924,12973,13013,13046,13070
Region I (Ilocos Region),PH010000000,La Union,PH013300000,sudipen,PH013319000,17490,17545,17590,17624,17647,17660
Region I (Ilocos Region),PH010000000,La Union,PH013300000,tubao,PH013320000,30306,30577,30831,31068,31290,31494
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,agno,PH015501000,28650,28723,28779,28819,28842,28849
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,aguilar,PH015502000,43052,43305,43535,43741,43924,44083
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,city of alaminos,PH015503000,93657,94312,94918,95473,95980,96436
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,alcala,PH015504000,45374,45704,46010,46292,46550,46784
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,anda,PH015505000,41692,42076,42439,42781,43104,43405
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,asingan,PH015506000,58567,58714,58827,58906,58951,58962
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,balungao,PH015507000,35661,36598,37539,38483,39434,40385
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,bani,PH015508000,54583,55395,56187,56960,57715,58448
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,basista,PH015509000,35314,35748,36167,36571,36960,37334
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,bautista,PH015510000,34176,34507,34821,35119,35400,35664
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,bayambang,PH015511000,123940,124916,125827,126674,127459,128177
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,binalonan,PH015512000,55820,55982,56113,56211,56277,56311
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,binmaley,PH015513000,86723,87333,87896,88414,88887,89312
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,bolinao,PH015514000,89195,90549,91871,93162,94426,95655
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,bugallon,PH015515000,69881,70283,70646,70971,71258,71506
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,burgos,PH015516000,25112,25837,26567,27303,28048,28796
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,calasiao,PH015517000,98400,98899,99342,99731,100065,100344
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,dagupan city,PH015518000,177433,178396,179261,180027,180698,181268
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,dasol,PH015519000,31023,31370,31703,32022,32328,32618
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,infanta,PH015520000,25508,25654,25787,25905,26010,26100
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,labrador,PH015521000,25123,25486,25840,26185,26521,26847
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,lingayen (capital),PH015522000,106951,107523,108036,108489,108884,109219
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,mabini,PH015523000,25311,25379,25433,25472,25496,25505
Region I (Ilocos Region),PH010000000,Pangasinan,PH015500000,malasiqui,PH015524000,135915,136847,137706,138493,139208,139849
